,user_id,click_article_id,click_timestamp,click_environment,click_deviceGroup,click_os,click_country,click_region,click_referrer_type
694,199755,158192,1507041966980,4,1,17,1,6,1
720,199747,156447,1507029925092,4,1,17,1,7,1
721,199747,156560,1507029955092,4,1,17,1,7,1
749,199735,175040,1507034256447,4,1,17,1,14,2
750,199735,284547,1507034286447,4,1,17,1,14,2
785,199723,97485,1507032478781,4,1,17,1,8,1
786,199723,95743,1507032508781,4,1,17,1,8,1
793,199719,156624,1507029994822,4,1,17,1,25,2
794,199719,158536,1507030120122,4,1,17,1,25,1
795,199719,160417,1507031451996,4,1,17,1,25,1
796,199719,156447,1507031481996,4,1,17,1,25,1
895,199682,236726,1507033335261,4,1,17,1,25,1
896,199682,96152,1507033365261,4,1,17,1,25,1
1050,199622,199198,1507032578209,4,1,17,1,12,2
1051,199622,166430,1507032608209,4,1,17,1,12,2
1064,199615,225522,1507033856011,4,1,17,1,16,1
1065,199615,224868,1507033886011,4,1,17,1,16,1
1074,199612,199197,1507053726414,4,1,17,1,25,2
1075,199612,235230,1507053756414,4,1,17,1,25,2
1103,199602,348111,1507030195030,4,1,17,1,16,2
1104,199602,42422,1507030225030,4,1,17,1,16,2
1139,199590,175040,1507030393863,4,3,2,1,25,2
1140,199590,285343,1507030423863,4,3,2,1,25,2
1232,199559,284474,1507032710679,4,1,17,1,10,2
1233,199559,156624,1507049247438,4,1,17,1,10,2
1234,199559,199197,1507049277438,4,1,17,1,10,2
1318,199529,272143,1507032397142,4,1,17,1,20,5
1319,199529,156560,1507032427142,4,1,17,1,20,5
1320,199528,199198,1507030949952,4,1,17,1,25,2
1321,199528,64329,1507030979952,4,1,17,1,25,2
1406,199498,207825,1507030414594,4,1,17,1,13,1
1407,199498,70033,1507030444594,4,1,17,1,13,1
1449,199482,160417,1507030348197,4,1,17,1,12,1
1450,199482,5408,1507030833931,4,1,17,1,12,1
1451,199482,50823,1507030934521,4,1,17,1,12,1
1452,199482,48786,1507031010454,4,1,17,1,12,1
1453,199482,283658,1507031322386,4,1,17,1,12,1
1454,199482,285343,1507031345713,4,1,17,1,12,1
1455,199482,107039,1507037408858,4,1,17,1,12,1
1456,199482,156560,1507038445262,4,1,17,1,12,1
1457,199482,162338,1507038516972,4,1,17,1,12,1
1458,199482,114824,1507038572150,4,1,17,1,12,1
1459,199482,285298,1507038594124,4,1,17,1,12,1
1460,199482,71500,1507038643105,4,1,17,1,12,1
1461,199482,220553,1507038673105,4,1,17,1,12,1
1563,199449,272143,1507037061000,4,1,17,1,21,2
1564,199449,64329,1507037062417,4,1,17,1,21,2
1565,199449,175040,1507037092417,4,1,17,1,21,2
1568,199447,224658,1507030491454,4,3,2,1,16,2
1569,199447,272143,1507030521454,4,3,2,1,16,2
1668,199410,308166,1507030489860,4,1,17,1,25,1
1669,199410,348111,1507030574468,4,1,17,1,25,1
1670,199410,64329,1507031490677,4,1,17,1,25,2
1671,199410,175040,1507031553101,4,1,17,1,25,2
1672,199410,272143,1507031671091,4,1,17,1,25,2
1673,199410,199198,1507031701091,4,1,17,1,25,2
1706,199397,285343,1507030515970,4,4,2,11,28,7
1707,199397,285648,1507030545970,4,4,2,11,28,7
1764,199375,160417,1507030521159,4,1,17,1,21,1
1765,199375,160894,1507030551159,4,1,17,1,21,1
1866,199341,336476,1507030577297,4,1,17,1,7,2
1867,199341,156624,1507030607297,4,1,17,1,7,2
1893,199329,284474,1507030686053,4,1,17,1,27,2
1894,199329,272143,1507030716053,4,1,17,1,27,2
1895,199328,36392,1507031003080,4,1,17,1,13,1
1896,199328,136610,1507031033080,4,1,17,1,13,1
1915,199322,284474,1507030617242,4,1,17,1,9,2
1916,199322,175040,1507030647242,4,1,17,1,9,2
1937,199313,156624,1507030605087,4,1,17,1,25,2
1938,199313,284474,1507030673685,4,1,17,1,25,2
1939,199313,348111,1507030703685,4,1,17,1,25,2
1967,199302,336476,1507030660802,4,1,17,1,25,2
1968,199302,233917,1507030690802,4,1,17,1,25,2
2114,199251,50823,1507030776603,4,3,2,1,21,2
2115,199251,64329,1507030806603,4,3,2,1,21,2
2122,199247,182322,1507030744438,4,3,20,1,21,1
2123,199247,184443,1507030774438,4,3,20,1,21,1
2144,199238,156560,1507037279566,4,1,17,1,20,2
2145,199238,272143,1507037677465,4,1,17,1,20,1
2146,199238,265996,1507037877993,4,1,17,1,20,1
2147,199238,206934,1507053102055,4,1,17,1,20,2
2148,199238,235230,1507053206257,4,1,17,1,20,2
2149,199238,313431,1507053532582,4,1,17,1,20,2
2150,199238,129029,1507053574526,4,1,17,1,20,2
2151,199238,156619,1507053604526,4,1,17,1,20,2
2212,199216,272143,1507031035552,4,1,17,1,24,2
2213,199216,199198,1507031065552,4,1,17,1,24,2
2400,199148,182513,1507031251810,4,1,17,1,21,2
2401,199148,336476,1507031281810,4,1,17,1,21,2
2404,199146,272143,1507031205219,4,1,17,1,20,2
2405,199146,199198,1507031235219,4,1,17,1,20,2
2458,199127,208322,1507039412158,4,1,17,1,25,2
2459,199127,156560,1507039442158,4,1,17,1,25,2
2551,199089,156624,1507031168776,4,3,2,1,16,1
2552,199089,156447,1507031198776,4,3,2,1,16,1
2572,199082,288841,1507032002750,4,1,17,1,25,1
2573,199082,5408,1507032032750,4,1,17,1,25,1
2607,199066,348111,1507033771832,4,1,17,1,25,2
2608,199066,272143,1507034507658,4,1,17,1,25,2
2609,199066,198659,1507034566512,4,1,17,1,25,1
2610,199066,156560,1507034596512,4,1,17,1,25,1
2673,199044,336476,1507031106361,4,1,17,1,25,2
2674,199044,175040,1507031417656,4,1,17,1,25,2
2675,199044,182513,1507031447656,4,1,17,1,25,2
2701,199034,96256,1507031150651,4,3,2,1,20,1
2702,199034,97564,1507031180651,4,3,2,1,20,1
2703,199033,156624,1507031105230,4,3,2,8,28,2
2704,199033,64329,1507031135230,4,3,2,8,28,2
2750,199018,160974,1507031136382,4,3,2,1,21,1
2751,199018,158082,1507031515897,4,3,2,1,21,1
2752,199018,156447,1507031545897,4,3,2,1,21,1
2828,198990,233917,1507035120580,4,1,17,1,21,1
2829,198990,236726,1507035136153,4,1,17,1,21,1
2830,198990,156560,1507035166153,4,1,17,1,21,1
2991,198927,156624,1507031283072,4,3,2,6,28,1
2992,198927,156560,1507031313072,4,3,2,6,28,1
3034,198911,64329,1507032027161,4,1,17,1,25,1
3035,198911,156624,1507032057161,4,1,17,1,25,1
3102,198885,299697,1507031391301,4,1,17,1,13,2
3103,198885,156560,1507031675432,4,1,17,1,13,1
3104,198885,96077,1507031912472,4,1,17,1,13,1
3105,198885,199198,1507034118867,4,1,17,1,13,2
3106,198885,272143,1507034148867,4,1,17,1,13,2
3179,198859,20158,1507031375792,4,1,17,1,3,5
3180,198859,19783,1507031622522,4,1,17,1,3,1
3181,198859,20433,1507031794914,4,1,17,1,3,1
3182,198859,19964,1507032032113,4,1,17,1,3,1
3183,198859,162655,1507032062113,4,1,17,1,3,1
3217,198846,199198,1507032334486,4,3,2,1,1,2
3218,198846,175040,1507032338321,4,3,2,1,1,2
3219,198846,272143,1507032610802,4,3,2,1,1,1
3220,198846,198659,1507032640802,4,3,2,1,1,1
3238,198839,234493,1507031785269,4,4,20,10,28,1
3239,198839,272143,1507032028821,4,4,20,10,28,1
3240,198839,225055,1507032058821,4,4,20,10,28,1
3341,198802,160417,1507031589444,4,3,2,1,25,1
3342,198802,96077,1507031619444,4,3,2,1,25,1
3357,198795,282539,1507031496202,4,1,17,1,25,5
3358,198795,286336,1507031526202,4,1,17,1,25,5
3363,198792,158229,1507031581633,4,3,2,1,25,2
3364,198792,272143,1507031611633,4,3,2,1,25,2
3383,198784,64329,1507031764777,4,1,17,1,13,2
3384,198784,175040,1507031794777,4,1,17,1,13,2
3402,198776,348111,1507031729958,4,1,17,1,25,2
3403,198776,272143,1507031759958,4,1,17,1,25,2
3412,198772,156624,1507031532357,4,1,17,1,13,1
3413,198772,160417,1507031541007,4,1,17,1,13,1
3414,198772,156447,1507031571007,4,1,17,1,13,1
3523,198730,5408,1507031623889,4,1,17,11,28,1
3524,198730,78376,1507031637976,4,1,17,11,28,4
3525,198730,285343,1507031667976,4,1,17,11,28,4
3565,198712,206934,1507055749492,4,1,17,1,25,2
3566,198712,313431,1507058457414,4,1,17,1,25,2
3567,198712,338350,1507058487414,4,1,17,1,25,2
3589,198703,160974,1507031640012,4,3,20,1,21,1
3590,198703,5408,1507031670012,4,3,20,1,21,1
3593,198701,89364,1507031650776,4,1,17,1,21,5
3594,198701,89358,1507031680776,4,1,17,1,21,5
3683,198663,156624,1507031868959,4,1,17,1,13,2
3684,198663,199198,1507032285700,4,1,17,1,13,2
3685,198663,198659,1507032315700,4,1,17,1,13,2
3749,198640,336476,1507032089752,4,1,17,1,21,2
3750,198640,162655,1507032119752,4,1,17,1,21,2
3773,198632,272143,1507031859606,4,1,17,2,28,2
3774,198632,199198,1507031889606,4,1,17,2,28,2
3818,198615,231688,1507042282152,4,1,17,1,25,5
3819,198615,199197,1507042312152,4,1,17,1,25,5
3898,198588,272143,1507032328186,4,1,17,1,9,2
3899,198588,261476,1507032358186,4,1,17,1,9,2
3919,198579,160417,1507031945832,4,3,20,1,25,1
3920,198579,272143,1507032286860,4,3,20,1,25,1
3921,198579,156560,1507032316860,4,3,20,1,25,1
4033,198542,272143,1507032159707,4,1,17,1,12,2
4034,198542,199198,1507032189707,4,1,17,1,12,2
4112,198508,206934,1507053442398,4,1,17,1,25,2
4113,198508,235230,1507055270000,4,1,17,1,25,2
4114,198508,156624,1507055300000,4,1,17,1,25,2
4170,198484,182513,1507032178082,4,1,17,1,5,2
4171,198484,336476,1507032502348,4,1,17,1,5,2
4172,198484,175040,1507032532348,4,1,17,1,5,2
4191,198477,156624,1507032091312,4,1,17,1,16,2
4192,198477,156560,1507032121312,4,1,17,1,16,2
4252,198453,198769,1507032138804,4,3,2,1,18,5
4253,198453,160974,1507032293804,4,3,2,1,18,1
4254,198453,156447,1507032323804,4,3,2,1,18,1
4345,198423,272143,1507032264082,4,1,17,1,20,1
4346,198423,273309,1507032414657,4,1,17,1,20,1
4347,198423,272660,1507032523436,4,1,17,1,20,1
4348,198423,265355,1507032553436,4,1,17,1,20,1
4372,198412,288410,1507032276939,4,1,17,1,25,1
4373,198412,285343,1507032306939,4,1,17,1,25,1
4377,198410,336476,1507037430982,4,1,17,1,21,2
4378,198410,234000,1507041394032,4,1,17,1,21,1
4379,198410,237142,1507041758391,4,1,17,1,21,1
4380,198410,272143,1507041788391,4,1,17,1,21,1
4494,198365,233917,1507032692495,4,1,17,1,25,2
4495,198365,336476,1507032718048,4,1,17,1,25,2
4496,198365,175040,1507032883170,4,1,17,1,25,2
4497,198365,272143,1507032913170,4,1,17,1,25,2
4681,198293,259339,1507032422991,4,1,17,1,24,5
4682,198293,260133,1507032452991,4,1,17,1,24,5
4728,198274,160417,1507032507613,4,3,2,1,25,1
4729,198274,272143,1507032537613,4,3,2,1,25,1
4757,198262,162655,1507032604779,4,1,17,1,13,1
4758,198262,156624,1507032634779,4,1,17,1,13,1
4796,198245,159847,1507032630696,4,1,17,1,25,1
4797,198245,182513,1507033051730,4,1,17,1,25,2
4798,198245,284474,1507033081730,4,1,17,1,25,2
4830,198235,199198,1507037391838,4,1,17,1,21,2
4831,198235,175040,1507037531410,4,1,17,1,21,2
4832,198235,161409,1507037561410,4,1,17,1,21,2
4862,198223,182513,1507032832606,4,3,2,1,25,2
4863,198223,336476,1507032862606,4,3,2,1,25,2
4887,198213,107039,1507032635974,4,1,17,1,8,1
4888,198213,156624,1507032853754,4,1,17,1,8,1
4889,198213,157332,1507032883754,4,1,17,1,8,1
4917,198201,272143,1507032627702,4,1,17,1,21,5
4918,198201,157332,1507032789700,4,1,17,1,21,1
4919,198201,156624,1507035317612,4,1,17,1,21,1
4920,198201,199198,1507035347612,4,1,17,1,21,1
4952,198189,272143,1507032871954,4,3,2,1,25,2
4953,198189,285343,1507032901954,4,3,2,1,25,2
5023,198170,156624,1507032679122,4,1,17,1,8,2
5024,198170,158229,1507032691330,4,1,17,1,8,2
5025,198170,336476,1507033755047,4,1,17,1,8,2
5026,198170,284474,1507033797201,4,1,17,1,8,2
5027,198170,64329,1507033827201,4,1,17,1,8,2
5248,198093,182513,1507034316789,4,1,17,1,8,2
5249,198093,348111,1507034346789,4,1,17,1,8,2
5339,198067,156624,1507033074697,4,3,20,8,28,2
5340,198067,158536,1507033104697,4,3,20,8,28,2
5409,198038,156624,1507033203847,4,1,17,1,7,2
5410,198038,158229,1507033205596,4,1,17,1,7,2
5411,198038,160974,1507033235596,4,1,17,1,7,2
5437,198028,30576,1507033280070,4,1,17,1,5,1
5438,198028,207825,1507033310070,4,1,17,1,5,1
5459,198020,199198,1507033332340,4,3,2,1,25,2
5460,198020,162655,1507033362340,4,3,2,1,25,2
5476,198013,156624,1507033098882,4,1,17,9,28,2
5477,198013,5408,1507033857979,4,1,17,9,28,1
5478,198013,161409,1507033887979,4,1,17,9,28,1
5492,198006,156624,1507033198743,4,1,17,1,13,1
5493,198006,156447,1507033474213,4,1,17,1,13,1
5494,198006,157332,1507033504213,4,1,17,1,13,1
5507,198001,157332,1507033041438,4,1,17,1,25,1
5508,198001,156560,1507033071438,4,1,17,1,25,1
5562,197981,156624,1507033222479,2,4,2,9,28,2
5563,197981,158536,1507033252479,2,4,2,9,28,2
5687,197931,162655,1507033189405,4,1,17,1,25,1
5688,197931,156624,1507033583505,4,1,17,1,25,1
5689,197931,348111,1507033613505,4,1,17,1,25,1
5766,197905,348111,1507035030360,4,1,17,1,11,2
5767,197905,336476,1507035865999,4,1,17,1,11,2
5768,197905,199198,1507035998642,4,1,17,1,11,1
5769,197905,272143,1507036077969,4,1,17,1,11,1
5770,197905,284474,1507036107969,4,1,17,1,11,1
5778,197903,285343,1507033723822,4,1,17,1,13,1
5779,197903,158192,1507033753822,4,1,17,1,13,1
5808,197892,272143,1507033639789,4,1,12,1,13,2
5809,197892,145472,1507033669789,4,1,12,1,13,2
5824,197885,336476,1507033824125,4,1,17,1,26,2
5825,197885,341838,1507034213822,4,1,17,1,26,1
5826,197885,175040,1507034243822,4,1,17,1,26,1
5833,197881,64329,1507034680874,4,1,17,1,25,2
5834,197881,199198,1507034710874,4,1,17,1,25,2
5878,197862,214433,1507033280828,4,1,17,1,17,5
5879,197862,156624,1507033310828,4,1,17,1,17,5
5922,197846,284474,1507033362163,4,1,17,1,25,2
5923,197846,285343,1507033392163,4,1,17,1,25,2
5959,197833,336801,1507033700154,4,3,2,1,25,1
5960,197833,285255,1507034195580,4,3,2,1,25,1
5961,197833,199198,1507034588386,4,3,2,1,25,1
5962,197833,182394,1507034679122,4,3,2,1,25,1
5963,197833,70036,1507035767940,4,3,2,1,25,1
5964,197833,236726,1507035797940,4,3,2,1,25,1
5965,197832,156624,1507033362034,4,1,17,1,1,2
5966,197832,156447,1507033392034,4,1,17,1,1,2
5999,197819,162655,1507040052003,4,1,17,1,24,1
6000,197819,71113,1507040082003,4,1,17,1,24,1
6026,197807,285648,1507033359584,4,1,17,1,20,6
6027,197807,182513,1507033389584,4,1,17,1,20,6
6091,197784,262510,1507033395651,4,3,2,1,25,5
6092,197784,263265,1507033609003,4,3,2,1,25,1
6093,197784,263262,1507033639003,4,3,2,1,25,1
6161,197758,156624,1507036124571,4,1,17,1,5,1
6162,197758,160417,1507036143025,4,1,17,1,5,1
6163,197758,160974,1507036146967,4,1,17,1,5,1
6164,197758,156447,1507036148722,4,1,17,1,5,1
6165,197758,157332,1507036164167,4,1,17,1,5,1
6166,197758,162655,1507036178418,4,1,17,1,5,1
6167,197758,158229,1507036199143,4,1,17,1,5,1
6168,197758,107039,1507036200854,4,1,17,1,5,1
6169,197758,158082,1507036202213,4,1,17,1,5,1
6170,197758,156560,1507036207202,4,1,17,1,5,1
6171,197758,158536,1507036237202,4,1,17,1,5,1
6334,197697,199197,1507043306171,4,1,17,1,5,2
6335,197697,336476,1507043336171,4,1,17,1,5,2
6361,197685,182513,1507034580302,4,1,17,1,25,2
6362,197685,336476,1507034610302,4,1,17,1,25,2
6365,197683,156624,1507033587507,4,1,17,1,25,1
6366,197683,162655,1507033617507,4,1,17,1,25,1
6415,197662,156560,1507033788745,4,1,17,1,25,1
6416,197662,285343,1507033818745,4,1,17,1,25,1
6428,197657,284901,1507033629543,4,1,17,1,25,5
6429,197657,213927,1507033889285,4,1,17,1,25,1
6430,197657,284629,1507034220642,4,1,17,1,25,1
6431,197657,272143,1507034250642,4,1,17,1,25,1
6458,197647,156560,1507038382763,4,1,17,1,8,2
6459,197647,156624,1507048086998,4,1,17,1,8,2
6460,197647,162765,1507048116998,4,1,17,1,8,2
6514,197630,156447,1507033808780,4,1,17,1,25,1
6515,197630,157332,1507033825691,4,1,17,1,25,1
6516,197630,107039,1507033855691,4,1,17,1,25,1
6570,197609,175040,1507033799479,4,3,20,1,16,2
6571,197609,272143,1507033819214,4,3,20,1,16,2
6572,197609,199198,1507033849214,4,3,20,1,16,2
6604,197598,199198,1507034177614,4,1,17,1,5,2
6605,197598,198659,1507034207614,4,1,17,1,5,2
6611,197595,64329,1507033752341,4,1,17,1,21,1
6612,197595,157332,1507034720276,4,1,17,1,21,1
6613,197595,65422,1507034750276,4,1,17,1,21,1
6687,197566,285298,1507034269880,4,4,2,1,25,1
6688,197566,236726,1507034447464,4,4,2,1,25,1
6689,197566,233728,1507034688451,4,4,2,1,25,1
6690,197566,234980,1507034718451,4,4,2,1,25,1
6818,197521,156624,1507033889354,4,1,17,1,8,1
6819,197521,160417,1507033919354,4,1,17,1,8,1
6922,197479,161409,1507034530920,4,1,17,1,21,2
6923,197479,161584,1507034560920,4,1,17,1,21,2
6974,197459,96152,1507034001918,4,1,17,1,9,5
6975,197459,96077,1507034031918,4,1,17,1,9,5
7020,197441,272143,1507041039043,4,1,17,1,21,1
7021,197441,286161,1507041137226,4,1,17,1,21,1
7022,197441,65422,1507041167226,4,1,17,1,21,1
7031,197436,156624,1507036203866,4,1,17,1,21,2
7032,197436,156560,1507040605295,4,1,17,1,21,2
7033,197436,208322,1507041022519,4,1,17,1,21,2
7034,197436,161409,1507041207539,4,1,17,1,21,2
7035,197436,286161,1507041237539,4,1,17,1,21,2
7108,197409,284474,1507034694609,4,1,17,1,21,2
7109,197409,64329,1507035130948,4,1,17,1,21,2
7110,197409,272143,1507035207578,4,1,17,1,21,2
7111,197409,199198,1507035237578,4,1,17,1,21,2
7136,197399,64329,1507034611573,4,3,2,1,25,2
7137,197399,158536,1507034726003,4,3,2,1,25,1
7138,197399,160417,1507034955202,4,3,2,1,25,1
7139,197399,272143,1507034985202,4,3,2,1,25,1
7168,197389,156624,1507034180530,4,1,17,1,25,2
7169,197389,272143,1507034531064,4,1,17,1,25,2
7170,197389,199198,1507034561064,4,1,17,1,25,2
7215,197372,199198,1507034679166,4,1,13,1,12,2
7216,197372,198659,1507034859733,4,1,13,1,12,1
7217,197372,156560,1507035030767,4,1,13,1,12,1
7218,197372,182394,1507035723096,4,1,13,1,12,1
7219,197372,272143,1507035855959,4,1,13,1,12,1
7220,197372,64329,1507035952591,4,1,13,1,12,1
7221,197372,324823,1507036166592,4,1,13,1,12,1
7222,197372,118683,1507036196592,4,1,13,1,12,1
7233,197368,156624,1507035722557,4,1,12,1,21,2
7234,197368,158229,1507035752557,4,1,12,1,21,2
7280,197349,66349,1507034573192,4,1,17,1,24,1
7281,197349,352116,1507034603192,4,1,17,1,24,1
7286,197346,257232,1507034297314,4,1,17,1,22,5
7287,197346,259649,1507034327314,4,1,17,1,22,5
7288,197345,284474,1507034244129,4,1,17,1,25,6
7289,197345,156624,1507035342827,4,1,17,1,25,6
7290,197345,158536,1507035372827,4,1,17,1,25,6
7313,197336,182513,1507034343055,4,1,17,1,15,1
7314,197336,156560,1507034636122,4,1,17,1,15,1
7315,197336,236726,1507034666122,4,1,17,1,15,1
7316,197335,272143,1507034320911,4,1,17,1,17,1
7317,197335,158536,1507034350911,4,1,17,1,17,1
7332,197331,182513,1507035031724,4,1,17,1,25,2
7333,197331,336476,1507035067988,4,1,17,1,25,2
7334,197331,348111,1507036415779,4,1,17,1,25,2
7335,197331,64329,1507040246500,4,1,17,1,25,2
7336,197331,175040,1507040276500,4,1,17,1,25,2
7423,197306,284474,1507038360610,4,1,17,1,25,2
7424,197306,285343,1507038494136,4,1,17,1,25,1
7425,197306,285648,1507038835412,4,1,17,1,25,1
7426,197306,324823,1507038865412,4,1,17,1,25,1
7542,197265,199198,1507035091765,4,1,17,1,25,2
7543,197265,272143,1507035121765,4,1,17,1,25,2
7563,197255,156624,1507034406962,4,3,20,1,25,2
7564,197255,317938,1507034436962,4,3,20,1,25,2
7593,197246,338350,1507061454028,4,1,17,1,25,2
7594,197246,313431,1507061484028,4,1,17,1,25,2
7599,197243,286161,1507034429881,4,3,2,1,24,4
7600,197243,160417,1507034622085,4,3,2,1,24,4
7601,197243,272143,1507034652085,4,3,2,1,24,4
7701,197203,160417,1507034508000,4,1,17,1,25,1
7702,197203,156624,1507034508002,4,1,17,1,25,1
7703,197203,5408,1507034513900,4,1,17,1,25,1
7704,197203,157332,1507034522703,4,1,17,1,25,1
7705,197203,50823,1507034552703,4,1,17,1,25,1
7754,197184,182513,1507034797760,4,1,17,1,25,2
7755,197184,59829,1507034827760,4,1,17,1,25,2
7763,197180,157332,1507034668132,4,1,17,1,7,1
7764,197180,156624,1507034698132,4,1,17,1,7,1
7774,197177,64329,1507034685905,4,1,17,1,12,2
7775,197177,272143,1507034729464,4,1,17,1,12,2
7776,197177,175040,1507034759464,4,1,17,1,12,2
7889,197134,175040,1507035436245,4,3,2,1,25,2
7890,197134,324823,1507035466245,4,3,2,1,25,2
7984,197098,156560,1507039255787,4,1,17,1,25,2
7985,197098,272143,1507039285787,4,1,17,1,25,2
7995,197093,157332,1507036111004,4,1,17,1,25,1
7996,197093,71500,1507036195114,4,1,17,1,25,1
7997,197093,283658,1507036225638,4,1,17,1,25,1
7998,197093,224171,1507036255638,4,1,17,1,25,1
8029,197083,182513,1507035781856,4,1,17,1,25,2
8030,197083,233917,1507035811856,4,1,17,1,25,2
8045,197076,156624,1507034757656,4,1,17,1,7,2
8046,197076,285298,1507034787656,4,1,17,1,7,2
8056,197073,272143,1507035057870,4,1,17,1,21,2
8057,197073,324823,1507035087870,4,1,17,1,21,2
8081,197063,206934,1507054225658,4,1,17,1,8,2
8082,197063,338350,1507054255658,4,1,17,1,8,2
8089,197060,182513,1507035629026,4,1,17,1,25,2
8090,197060,64329,1507037248884,4,1,17,1,25,2
8091,197060,199198,1507037275051,4,1,17,1,25,2
8092,197060,336476,1507037305051,4,1,17,1,25,2
8096,197058,64329,1507034822469,4,1,17,1,25,2
8097,197058,272143,1507034852469,4,1,17,1,25,2
8131,197047,348111,1507034861048,4,1,17,1,25,2
8132,197047,175040,1507034891048,4,1,17,1,25,2
8133,197046,289444,1507034957120,4,1,17,1,25,1
8134,197046,285298,1507034987120,4,1,17,1,25,1
8244,197007,96605,1507038322008,4,1,17,1,9,1
8245,197007,97600,1507038362981,4,1,17,1,9,1
8246,197007,199198,1507038392981,4,1,17,1,9,1
8247,197006,175040,1507035185528,4,1,17,1,25,2
8248,197006,348111,1507035215528,4,1,17,1,25,2
8303,196992,199198,1507035192895,4,1,17,1,25,2
8304,196992,157332,1507035222895,4,1,17,1,25,2
8305,196991,272143,1507034936583,4,1,17,1,13,5
8306,196991,199198,1507034998201,4,1,17,1,13,5
8307,196991,71500,1507035028201,4,1,17,1,13,5
8366,196969,160417,1507034977663,4,3,2,1,15,6
8367,196969,156624,1507035307511,4,3,2,1,15,1
8368,196969,158082,1507035337511,4,3,2,1,15,1
8427,196948,233917,1507035362664,4,3,2,11,28,2
8428,196948,162655,1507035392664,4,3,2,11,28,2
8438,196943,156624,1507035143956,4,3,2,1,13,1
8439,196943,157332,1507035173956,4,3,2,1,13,1
8530,196909,273054,1507035601147,4,3,2,1,25,1
8531,196909,157332,1507035631147,4,3,2,1,25,1
8567,196894,129029,1507050795038,4,1,17,1,25,2
8568,196894,272143,1507050825038,4,1,17,1,25,2
8582,196887,156624,1507036462569,4,3,20,1,25,2
8583,196887,336476,1507036760793,4,3,20,1,25,2
8584,196887,64329,1507036790793,4,3,20,1,25,2
8628,196872,150326,1507042465990,4,1,17,1,8,5
8629,196872,71306,1507042507407,4,1,17,1,8,5
8630,196872,206934,1507042537407,4,1,17,1,8,5
8721,196843,336476,1507035437813,4,1,17,1,21,2
8722,196843,175040,1507035467813,4,1,17,1,21,2
8805,196811,161409,1507035413428,4,1,17,1,21,2
8806,196811,156624,1507035443428,4,1,17,1,21,2
8810,196809,162338,1507038376064,4,1,17,1,6,5
8811,196809,160417,1507038406064,4,1,17,1,6,5
8961,196749,286336,1507035412119,4,1,12,1,25,5
8962,196749,357715,1507035442119,4,1,12,1,25,5
8963,196748,156624,1507035422958,4,1,17,1,24,1
8964,196748,160417,1507035426792,4,1,17,1,24,1
8965,196748,157332,1507035456792,4,1,17,1,24,1
8977,196743,199198,1507036340322,4,1,17,1,25,2
8978,196743,198659,1507036370322,4,1,17,1,25,2
9011,196729,62748,1507036300182,4,3,2,1,3,1
9012,196729,19772,1507036347570,4,3,2,1,3,1
9013,196729,20433,1507036377570,4,3,2,1,3,1
9151,196680,272143,1507036335570,4,1,17,1,25,2
9152,196680,162655,1507036404647,4,1,17,1,25,1
9153,196680,182394,1507036434647,4,1,17,1,25,1
9193,196668,156560,1507037956382,4,1,17,1,25,2
